source,currency,date,buying,selling
market,AED,2026-08-16,44.0107,44.0107
market,CHF,2026-08-16,198.8417,198.8417
market,CNY,2026-08-16,23.9075,23.9075
market,DJF,2026-08-16,0.9095,0.9095
market,EUR,2026-08-16,186.9089,186.9089
market,GBP,2026-08-16,218.7215,218.7215
market,JPY,2026-08-16,1.0151,1.0151
market,KES,2026-08-16,1.2509,1.2509
market,SAR,2026-08-16,43.1011,43.1011
market,USD,2026-08-16,161.6293,161.6293
market,AED,2026-08-17,43.8590,43.8590
market,CHF,2026-08-17,198.2007,198.2007
market,CNY,2026-08-17,23.8673,23.8673
market,DJF,2026-08-17,0.9063,0.9063
market,EUR,2026-08-17,186.3894,186.3894
market,GBP,2026-08-17,218.1125,218.1125
market,JPY,2026-08-17,1.0117,1.0117
market,KES,2026-08-17,1.2463,1.2463
market,SAR,2026-08-17,42.9526,42.9526
market,USD,2026-08-17,161.0721,161.0721
nbe,AED,2026-08-17,44.0957,44.0957
nbe,AUD,2026-08-17,114.6832,114.6832
nbe,CAD,2026-08-17,116.6599,116.6599
nbe,CHF,2026-08-17,199.5060,199.5060
nbe,CNY,2026-08-17,24.0238,24.0238
nbe,DJF,2026-08-17,0.9161,0.9161
nbe,DKK,2026-08-17,25.0645,25.0645
nbe,EUR,2026-08-17,187.3703,187.3703
nbe,GBP,2026-08-17,219.2439,219.2439
nbe,INR,2026-08-17,1.6971,1.6971
nbe,JPY,2026-08-17,1.0181,1.0181
nbe,KES,2026-08-17,1.2641,1.2641
nbe,KWD,2026-08-17,527.0307,527.0307
nbe,NOK,2026-08-17,17.1302,17.1302
nbe,SAR,2026-08-17,43.1385,43.1385
nbe,SEK,2026-08-17,17.0320,17.0320
nbe,USD,2026-08-17,161.1532,161.1532
nbe,XDR,2026-08-17,221.2036,221.2036
nbe,ZAR,2026-08-17,10.0216,10.0216
